citation,author,book
 Il n'est pas d'amour qui résiste à l'absence. ,Anatole France,    La Rôtisserie de la reine Pédauque                                
 L'acteur n'existe que dans le regard des autres. ,Michel Piccoli,"    Le Monde, septembre 2001                                "
 Ceux qui se sont sagement limités à ce qui leur paraissait possible n'ont jamais avancé d'un seul pas. ,Mikhaïl Bakounine,
" Si on n'est pas prêt à tout, on est prêt à rien. ",Paul Auster,
" Nous réalisons que ce que nous accomplissons n'est qu'une goutte dans l'océan. Mais si cette goutte n'existait pas dans l'océan, elle manquerait. ",Mère Teresa,
" J'aime qu'il se passe quelque chose ; et s'il ne se passe rien, je fais en sorte qu'il se passe quelque chose. ",Winston Churchill,
 Savoir ce qu'il faut faire et ne pas le faire revient au même que ne pas savoir quoi faire. ,Robin Sharma,
 Le grand secret de notre maladie oscille entre la précipitation et la négligence. ,Johann Wolfgang von Goethe,
" Sans l'action, l'imagination ne serait qu'un moyen de nous réfugier dans l'irréel. ",Albert Jacquard,    Petite philosophie à l'usage des non-philosophes - Ed. Calmann-Lévy                                
" Pour vivre en paix avec tout le monde, il ne suffit pas de ne point se mêler des affaires d'autrui, il faut encore souffrir qu'autrui se mêle des vôtres. ",Élie Fréron,
 Votre âge se mesure exactement au degré d'irritation que vous procure une idée nouvelle. ,Jules Renard,
 Un homme qui déteste les chiens et qui aime le whisky ne peut pas être tout à fait mauvais. ,W.C. Fields,
 L'altruisme est une forme intelligente d'égoïsme. ,Jacques Attali,
" Un mari qu'on aime d'amour, ce n'est pas un mari, c'est un amant. ",Paul-Jean Toulet,
 L'ambition est le dernier refuge du raté. ,Oscar Wilde,
" Quand l'amour grandit en toi, la beauté fait de même. Car l'amour est la beauté de l'âme. ",Saint-Augustin,
" L'âme est reliée au souffle originel ; mais rien ne peut attaquer son intégrité, contrairement à l'esprit. ",François Cheng,"    La Grande Librairie, 17 nov. 2016                                "
 Il n'est pas aussi facile d'apercevoir la beauté de l'âme que celle du corps. ,Aristote,"    Les politiques, I                                "
" L'amitié, comme l'amour, naît de l'appréhension de l'exceptionnel de l'autre. ",Olivier de Kersauson,"    Le monde comme il me parle, éd. le cherche midi                                "
 L'amitié est un amour sans le corps. ,Michel Onfray,"    La Grande Librairie, 09/01/2019                                "
" Je considère qu'un ami est celui qui ne ment pas, ne fait pas semblant et parle avec toute la sincérité, la franchise que l'amitié véritable requiert. ",Tahar Ben Jelloun,    Éloge de l'amitié                                
" Ne marche pas devant moi, je ne suivrai peut-être pas. Ne marche pas derrière moi, je ne te guiderai peut-être pas. Marche juste à côté de moi et sois mon ami. ",Albert Camus,
 L'amitié fait le tour du monde et nous convie tous à nous réveiller pour la vie heureuse. ,Épicure,    Sentence vaticane                                
 Mon meilleur ami est le seul être au monde qui ait le pouvoir de me fortifier et de me consoler. ,Henri-Frédéric Amiel,
" Sur vingt amis, dix-neuf disent de vous du mal, et le vingtième, qui en dit du bien, le dit mal. ",Antoine Rivarol,
 Les coups de bâtons de mes amis ont plus de prix que les cadeaux de mes ennemis. ,Matteo Ricci,    De l'Amitié                                
" Un ami, c'est celui qui devine toujours quand on a besoin de lui. ",Jules Renard,    Journal                                
" Il y a trois sortes d'hommes avec lequel il est utile de se lier d'amitié : les hommes droits, les hommes sincères, et les hommes qui ont beaucoup appris. ",Confucius,
 Amour et fleurs ne durent qu'un printemps. ,Pierre de Ronsard,
 La source du malheur dans l'amour est la peur d'être aimé. ,Emil Cioran,
" L'amour est le seul sujet sur lequel on puisse écrire n'importe quoi, car l'amour est n'importe quoi. C'est une qualité. ",Charles Dantzig,"    Dictionnaire égoïste de la littérature française, éd. Grasset                                "
 L'amour est le miracle d'être un jour entendu jusque dans nos silences. Et d'entendre en retour avec la même délicatesse. ,Christian Bobin,
" L'amour non-dit vous étreint le cœur, qui vous fait tour à tour souffrir et espérer. ",Francesco Alberoni,
 Quiconque doit aimer aime à première vue. ,William Shakespeare,
" L'absence d'amour, ça prend beaucoup de place. ",Romain Gary,
" L'amour est-il, comme on le prétend, la purification de l'instinct ou, au contraire, sa perversion ? ",Alfred Capus,
" L'amour est souvent une partie où chacun des deux joueurs, tour à tour, croit qu'il va perdre et se hâte de corriger son jeu. ",Paul Léautaud,
" Ce qu'il y a de triste dans l'amour, c'est que non seulement l'amour ne peut pas durer toujours, mais que les désespoirs qu'il cause sont vite oubliés. ",William Faulkner,
" Aimer, c'est essentiellement vouloir être aimé. ",Jacques Lacan,
" L'amour, c'est d'abord aimer follement l'odeur de l'autre. ",Pascal Quignard,
" L'amour, sans la jalousie, n'est pas l'amour. ",Paul Léautaud,
" L'amour ne donne aucun droit sur l'autre, seulement le devoir de le respecter. ",Jacques Salomé,
" L'amour n'aime pas le passé. L'amour renverse et bouscule, il ne regarde qu'en avant, il est l'ennemi de la tradition. ",Jean d'Ormesson,"    Au plaisir de Dieu, éd. Gallimard                                "
" L'amour est une flamme sans fumée, toujours neuve, créative et joyeuse. ",Jiddu Krishnamurti,
" Auprès de la femme que l'on aime il se dégage un parfum céleste, ce n'est plus de l'air, c'est de l'amour qu'on respire. ",Alphonse Karr,
" Ce charme qu'on croit trouver dans les autres, c'est en nous qu'il existe ; et c'est l'amour seule qui embellit tant l'objet aimé. ",Pierre Choderlos de Laclos,
" N'aimer que des êtres purs, c'est de l'égoïsme. Chercher dans une femme ce que nous ne possédons pas nous-mêmes, ce n'est pas de l'amour, c'est de l'adulation. Il ne faut aimer que nos égales. ",Anton Tchekhov,"    Carnets de notes, éd. Calmann-Lévy                                "
" Dire que vous pouvez aimer une personne toute votre vie, c'est comme si vous prétendiez qu'une bougie continuera à brûler aussi longtemps que vous vivrez. ",Léon Tolstoï,    La Sonate à Kreutzer                                
" L'amour, c'est le physique, c'est l'attrait charnel, c'est le plaisir reçu et donné... Le reste, les hyperboles, les soupirs, les « élans de l'âme », sont des plaisanteries, des propos pour les niais, des rêveries de beaux esprits impuissants. La passion, c'est le feu qui met en nous ce plaisir. Le sentiment, c'est l'attachement à ce plaisir. ",Paul Léautaud,"    Amours, éd. Mercure                                "
" Aime et fais ce que tu veux ; si tu te tais, tais-toi par amour ; si tu parles, parle avec amour ; si tu corriges, corrige par amour ; si tu pardonnes, pardonne par amour ; aies au fond du cœur les racines de l'amour ; de cette racine, il ne peut rien sortir que de bon. ",Saint-Augustin,    Confessions                                
" Qu'est-ce en effet qui relie le temporel et l'éternité, qu'est-ce d'autre que l'amour, qui donc est avant toutes choses et demeure quand toutes sont passées ? ",Søren Kierkegaard,
 L'amour est un fleuve où les eaux de deux rivières se mêlent sans se confondre. ,Jacques de Bourbon Busset,
" Croyez seulement en un amour qui vous est gardé comme un bien d'héritage. Soyez certain qu'il y a dans cet amour une force, une bénédiction qui peuvent vous accompagner aussi loin que vous alliez. ",Rainer Maria Rilke,
 Aimer sans doute est le possible le plus lointain. ,Georges Bataille,    L'Érotisme                                
" L'homme veut être le premier amour de la femme, alors que la femme veut être le dernier amour de l'homme. ",Oscar Wilde,
" Le premier symptôme de l'amour vrai chez un jeune homme, c'est la timidité, chez une jeune fille, c'est la hardiesse. ",Victor Hugo,
 Tout ce que je sais de l'espoir que je mets dans l'amour c'est qu'il n'appartient qu'à une femme de lui donner une réalité. ,René Magritte,
" L'amour est l'histoire de la vie des femmes, c'est un épisode dans la vie des hommes. ",Mme de Staël,
" Une existence sans amour, quoique l'on possède par ailleurs, est une vie vide, sans but. ",Leo Buscaglia,
" Nous avons de l'amour pour une ou deux femmes, de l'amitié pour deux ou trois amis, de la haine pour un seul ennemi, de la pitié pour quelques pauvres ; et le reste des hommes nous est indifférent. ",Jules Renard,    Journal                                
